"Abbreviation","Remedy Name","Mental_Emotional_Themes","General_Themes","Key_Local_Symptoms","Worse_From","Better_From","Notes_Sphere"
"CACT","Cactus grandiflorus (Selenicereus)","Great anxiety and fear of heart disease; feels as if heart would stop, or as if something holds it; melancholic, weeping yet fears death","Powerful heart and circulation remedy; constriction sensation is keynote—heart, chest, head, uterus; acts in angina, cardiac hypertrophy, valvular disease, haemorrhages and congestive headaches","Sensation as if an iron band or vice around heart or chest; angina pectoris with constrictive pains radiating to left arm; palpitation and irregular pulse, worse lying on left side; haemorrhages—bright, often clotted—nose, lungs, uterus; congestive headaches as if band around head; uterine haemorrhage with constriction sensation","Exertion; emotions; lying on left side; about midday; climacteric period","Rest; sitting up; open fresh air; gentle pressure over heart or head","Major heart–vascular remedy with characteristic constriction sensations and haemorrhages, useful in angina, valvular disease, congestive headaches and uterine bleeding"
"CADM-S","Cadmium sulphuratum","Extremely prostrated, chilly, wants to be perfectly quiet; anxious, morose, dislikes being spoken to; hopeless in long illness","Acts like a cross between Arsenicum and Veratrum: intense gastric irritation with coldness and collapse; suits yellow, icy-cold patients who vomit everything and cannot bear to be moved","Intense nausea and vomiting with icy coldness and great weakness; vomits as soon as he drinks; black or coffee-ground vomit in severe cases; burning in stomach and oesophagus; deathly pallor or yellow, sallow skin; prostration in low fevers, cancer or after radiotherapy/chemotherapy-type states in the drug-picture","Cold, slightest motion, touch, talking; attempting to eat or drink","Absolute rest; warmth; small sips of warm liquid if tolerated; quiet, dark room","Gastric–collapse remedy for violent vomiting with black vomit, icy coldness and extreme prostration, especially in cancer or low fevers where Arsenicum/Veratrum seem indicated but fail"
"CAIN","Cainca (Cahinca)","Low-spirited, anxious from chronic dropsy or urinary trouble; mentally dull, weary of suffering; may be irritable and restless at night","South American root; diuretic and alterative; acts on kidneys, liver and spleen; anasarca, ascites and oedema, especially cardiac or hepatic; intermittent and gastric fevers with great thirst","General dropsy with swelling of legs, abdomen and face; pale, scanty urine with sediment; great thirst, especially for cold water; splenic and hepatic enlargement with soreness; gastric and bilious symptoms in intermittent fevers","Exertion; hot, close rooms; overeating or improper food in weak patients","Rest; cool, open air; regulated, light diet; gradual increase of urine flow","Dropsical–hepatic remedy with anasarca, thirst and scanty urine, enlarged liver and spleen and gastric-bilious symptoms, especially in intermittent fevers"
"CAJ","Cajupitum (Oleum Wittnebianum)","Irritable, anxious and restless from intense rectal or urinary burning; mental state dominated by tenesmus and pain","Acts on rectum, anus and genito-urinary tract; tenesmus and burning in dysentery, haemorrhoids and urethral inflammation; catarrhal conditions of bladder and prostate","Violent tenesmus of rectum with small, frequent, bloody mucus stools; burning, smarting and rawness in anus; haemorrhoids intensely painful and sensitive; urethral burning with frequent urging, sometimes with gonorrhoeal or catarrhal discharge; pruritus of anus and genitals","After stool; urination; sitting; spicy food and alcohol; sexual excess","Cool bathing of parts; lying down with hips slightly elevated; bland diet and plenty of water","Rectal–urinary remedy for intense burning tenesmus, dysenteric stools and painful haemorrhoids or urethritis with violent irritation"
"CALAD","Caladium seguinum","Irritable, depressed, mentally weakened; marked sexual disturbance—strong desire but physical inability, or aversion with local irritation; fears impotence","Acts on genito-urinary organs, mucous membranes and skin; pruritus of genitals, spermatorrhoea, sexual weakness; also used in tobacco craving and asthma in some traditions","Intense itching of genitals without visible eruption; penis relaxed yet sexual desire present; emissions without erotic dreams; great exhaustion after sexual acts; in women, vulvar itching and burning; asthma or cough aggravated by smoking; nausea and vomiting from tobacco; cold, clammy skin with tendency to sweat","Tobacco and smoking; sexual excess; warmth of bed (itching); mental excitement","Open, cool air; ceasing tobacco; washing parts with cool water; moderate sexual activity","Genito-urinary–nervous remedy for sexual weakness with strong desire, genital itching, and aggravation from tobacco, also sometimes used in asthma or nausea from smoking"
"CALC-ACT","Calcarea acetica","Anxious, timid, easily tired; mentally sluggish, especially during teething or growth; worries about health","Calcarea salt with similar sphere to Calcarea carbonica but more marked glandular and osseous involvement; scrofulous children with enlarged glands and defective bone growth","Enlarged lymph glands, especially cervical; delayed dentition and bone development; tendency to rickets and curvature of bones; chronic suppuration of glands; sweating head and neck of children; acidity and diarrhoea in infants","Cold, damp air; exertion; milk aggravation in some children; mental strain","Warm, dry climate; rest; appropriate nutrition with calcium and vitamin D","Calcarea-family remedy for scrofulous, flabby, slow-developing children with enlarged glands, rickets and defective ossification"
"CALC-AR","Calcarea arsenicosa","Anxious, fearful, restless at night; worries about health and poverty; depressed yet driven; often chilly and debilitated","Combines Calcarea and Arsenicum themes: weakness, chilliness, anxiety, glandular enlargement and degeneration; acts on heart, kidneys and glands; chronic nephritis, hypertrophied heart and mesenteric glands","Albuminous urine with oedema of feet and face; hypertrophy and dilatation of heart with breathlessness on exertion; enlarged mesenteric and other glands in scrofulous children; chronic diarrhoea with emaciation; great chilliness and weakness, wants to be warmly wrapped","Cold, especially damp cold; exertion; climbing stairs; being overtired; after midnight","Warmth; rest; gentle, steady routine; head and chest wrapped warmly","Deep-acting remedy for scrofulous or tubercular constitutions with kidney and heart disease, albuminuria and enlarged glands, blending Calcarea sluggishness with Arsenicum anxiety and chilliness"
"CALC","Calcarea carbonica (Calcarea carbonica – Ostrearum)","Anxious, responsible, overworked types; easily fatigued, sluggish, prefers routine; fears insanity, misfortune, and especially heights; children are timid, obstinate and late to develop","Big constitutional remedy; acts on nutrition, glands, bones and mucous membranes; tendency to obesity or flabbiness, sweating head and neck, sour discharges; slow development in children; chronic catarrhs and tendency to catch cold easily","Profuse head-sweat in sleep; large abdomen with thin limbs in children; delayed walking and dentition; enlarged tonsils and cervical glands; chronic otitis, sinusitis and bronchitis; sour-smelling perspiration, stools and vomit; cold, damp feet; weakness on climbing stairs; craving for eggs, indigestible things (chalk, coal)","Cold, damp, getting feet wet; exertion, especially climbing; mental or physical overstrain; full moons or change of weather","Dry, warm atmosphere; rest; being warmly clothed (especially feet and head); steady routine and nutrition","Major constitutional remedy for flabby, chilly, sweat-prone individuals (especially children) with delayed development, glandular enlargement, bone troubles and chronic catarrhs"
"CALC-F","Calcarea fluorica (Fluor spar)","Often anxious about money and security; stubborn, sometimes rough or coarse; can be restless and dissatisfied when pains or deformities are prominent","Acts on elastic tissues—ligaments, veins, glands, bones; nodosities and exostoses; varicose veins and ulcers; hard, stony glands; cracking joints and spinal curvature","Hard, stony swellings around joints and bones (exostoses, bone spurs); varicose veins and knotty, painful piles; relaxed ligaments with tendency to sprains and dislocations; chronic cracking and stiffness of joints; indurated glands (e.g. breast, cervical, prostate); fissures and hard, indurated ulcers","Cold, damp; beginning motion; standing long; strain on weakened ligaments or veins","Warmth; continued gentle motion; elastic support for veins and joints","Remedy for varicose veins, bone spurs, hard glands and ligament laxity—any condition where tissues have become hard, knotty or too relaxed"
"CALC-I","Calcarea iodata","Timid, self-conscious children or adults with chronic gland trouble; anxious, easily worried, mentally dull from long illness","Calcarea–iodine salt; powerful glandular remedy; enlarged, hard tonsils and cervical glands; adenoids; scrofulous and tubercular constitutions prone to chronic catarrh","Large, hard, chronic tonsils and adenoid vegetations; recurrent sore throats and catarrh; enlarged cervical and other lymph glands; nasal obstruction with mouth-breathing; delayed development in “glandular” children","Cold, damp weather; exposure of throat; getting feet wet; exertion during acute throat attacks","Warm, dry climate; wrapping neck; gentle constitutional strengthening","Glandular Calcarea for big, hard tonsils and lymph nodes in scrofulous/tubercular children with chronic catarrh and delayed development"
"CALC-P","Calcarea phosphorica","Restless, dissatisfied, wants to travel or change things; children whiny, peevish, “never satisfied”; mental apathy from exhaustion or growth strain","Bone and growth remedy; acts on nutrition of bones, teeth and glands; anaemic, growing children; delayed union of fractures; “school headaches” and fatigue in students","Thin, pale children with large heads and open fontanelles; growing pains in limbs and back; slow or difficult dentition; tendency to curvature of spine and knock-knees; headaches in schoolchildren, worse mental exertion; weakness after illness or growth spurts; craving bacon, smoked meats or salty food","Cold and damp; exertion, especially mental; change of weather; over-study","Warmth; gentle outdoor exercise; nourishing diet with minerals; rest from study","Main growth-remedy for anaemic, restless children and for delayed fracture-healing or bone weakness in youth"
"CALC-SIL","Calcarea silicata","Timid, yielding, anxious about health; deep insecurity and fear of being criticised; combines slowness of Calcarea with sensitivity of Silica","Slow, deep constitutional remedy; chronic glandular indurations and suppurations; timid, chilly, sweaty subjects with enlarged glands and tendency to abscess","Chronic enlargement and hardness of glands (cervical, mesenteric, mammary); recurrent, slowly ripening abscesses or suppurations; chronic catarrhs and skin eruptions in delicate, chilly subjects who perspire easily; fatigue from slightest exertion","Cold air and drafts; exertion; mental effort; suppression of sweats or discharges","Warm, dry climate; wrapping up; gently promoting suppuration when needed; rest","Constitutional remedy for delicate, timid patients with hard glands and slow suppuration, blending Calcarea sluggishness with Silica’s chronic pus tendency"
"CALC-S","Calcarea sulphurica","Irritable, easily offended, impatient with chronic discharges; may be depressed from long-term suppuration","Calcarea–sulphur salt; acts on suppurative processes and mucous membranes; continuation of Hepar sulph picture—helps finish clearing pus","Persistent, yellow, lumpy or blood-streaked discharges from ears, nose, lungs or skin; abscesses that discharge but refuse to heal; acne with pus-filled spots; chronic catarrh and bronchitis with thick, yellow expectoration","Cold, damp weather; getting chilled; neglect of drainage or hygiene in suppurative cases","Warmth; dry air; proper drainage and cleansing of discharging areas","Pus-cleanup remedy when discharges remain thick and yellow after acute phase—good for lingering abscesses, acne and chronic catarrhs with yellow mucus"
"CALEN","Calendula officinalis","Usually calm but may be low-spirited or anxious after injuries or surgery; mental state often overshadowed by wound pain or slow healing","Great local vulnerary; promotes healthy granulation and prevents suppuration; used externally and internally for cuts, lacerations, surgical wounds and ulcers","Open wounds that are raw, painful and tend to gape; lacerations rather than blunt trauma; surgical incisions; torn perineum after childbirth; ulcers and bedsores with sluggish healing; prevents excessive pus formation when used early","Cold, damp; neglect or contamination of wounds; repeated trauma to area","Gentle cleansing; warm, moist dressings; Calendula lotions, gels or tincture appropriately diluted","Top wound-healing remedy for cuts, tears, surgical wounds and ulcers—less for bruises (Arnica) and more for promoting clean granulation and preventing infection"
"CALO","Calotropis gigantea (Calotropis)","Low, weak and anxious in dropsical or cardiac states; irritable when disturbed; mental dulness from great prostration","Acts on heart, circulation, liver and serous membranes; dropsy and anasarca with weak heart; acute rheumatism and fevers with much sweat and prostration","General dropsy with pitting oedema of legs, abdomen and sometimes chest; palpitation and cardiac weakness; profuse perspiration with little thirst; hepatic and splenic congestion; rheumatic pains with great weakness","Exertion; warm, confined rooms; lying flat when heart is weak; damp heat","Rest; cool fresh air; head and chest elevated; gentle diuresis","Cardio-dropsical remedy for anasarca with weak heart and profuse sweating, especially in hot climates and rheumatic or malarial backgrounds"
"CALTH","Caltha palustris","Irritable, restless and anxious with eruptions or uterine troubles; mental state fluctuates with pelvic pains and skin irritation","Marsh marigold; acts on skin and female pelvic organs; vesicular eruptions, especially around mouth and genitals; early, profuse menses; dysmenorrhoea","Small, yellowish vesicles or pustules around mouth, nose or genitals; raw, excoriated patches; early, profuse, sometimes painful menses with pelvic congestion; pruritus of vulva and perineum","Menses; warmth of bed; local irritation from washing or clothing","Cool applications; loose clothing; gentle washing with bland fluids","Skin–uterine remedy for vesicular eruptions about mouth and genitals and early, profuse menses with pelvic congestion and irritation"
"CAMPH","Camphora","Great anxiety and fear of death with icy coldness and collapse; yet hates to be covered despite chill; mind excitable then rapidly sinking into collapse","Powerful antidotal and collapse remedy; sudden sinking of vital forces with cold, pale, blue skin; cramps, spasms and cyanosis; often used in cholera-like attacks and shock","Body icy cold to touch, yet patient throws off covers; face pale or blue; weak, imperceptible pulse; sudden collapse in cholera, sunstroke, shock; cramps in calves and abdomen; scanty or suppressed urine; dry, cold skin without sweat","Cold air or drafts in collapse states; shock; violent diarrhoea or vomiting; suppression of eruptions","Gentle external warmth; rubbing; small doses of warm drinks if possible; stimulation and first-aid measures","Acute collapse remedy with icy coldness, blueness, absence of sweat and paradoxical aversion to covers—often thought of in early cholera, shock or sudden sinking of vitality"
"CAMPH-BR","Camphora bromata (Camphor mono-bromatum)","Nervous, excitable, then dull and confused; sleepless with nervous twitchings; may have hysterical states or night terrors","Brominated camphor; acts on brain and nervous system; nervous insomnia, hysteria, night terrors, convulsive twitchings; sometimes used in sexual irritability","Nervous sleeplessness with frequent waking and frightful dreams; twitchings of muscles and choreic movements; headaches with mental confusion; hysterical attacks with sobbing, laughing or crying; in some cases, sexual excitement with emissions and irritability","Mental overwork; excitement; stimulants; sexual excess; night","Quiet, dark bedroom; mental rest; avoiding stimulants in the evening","Nervous-sedative remedy for insomnia with twitchings, hysterical episodes and overactive nervous system, particularly in sensitive or over-stimulated patients"
"CANCH","Canchalagua","Low, dull, mildly depressed; mind feels tired from chronic skin or liver trouble; not a big mental remedy, more physical weariness","Traditional South-American blood purifier; acts on skin, liver and digestion; used in acne, boils, eczema and sluggish liver states with “bad blood” feeling","Acne, pustular and papular eruptions on face and trunk; recurring boils and “bad blood” states; dull frontal headaches with biliousness; coated tongue, poor appetite, sluggish digestion; general tiredness with tendency to chill easily","Rich, greasy foods; late hours; suppression of skin eruptions","Open air; light, clean diet; regular exercise and elimination","Skin–liver “blood purifier” type remedy for acne, boils and sluggish digestion with general dullness and fatigue"
"CANN-I","Cannabis indica","Mind racing; ideas crowding, time seems enormously prolonged; feels detached from body, as if in another world; alternates between exaltation and anxiety or panic; fear of losing reason","Acts powerfully on brain and nerves; dissociation, altered time and space sense; sensory exaltation; used in some forms of mania, anxiety, depersonalisation, and spinal irritation with shooting pains","Extreme distortion of time (minutes seem hours); sensation of being separated from body or floating; sudden attacks of intense anxiety or panic; uncontrollable laughter; neuralgic, shooting pains along spine and limbs; heaviness or paralysis-like weakness of legs; urinary retention from nervous spasm","Overexertion of mind; narcotic use; solitude; night; stimulants","Company; distraction; gentle grounding activities; rest of mind","Nervous–mental remedy for altered perception, racing thoughts, time distortion and panic, with shooting spinal pains or limb weakness"
"CANN-S","Cannabis sativa","Anxious about urinary and sexual organs; fear of going insane or having a serious disease; mentally restless, easily distracted","Acts mainly on urinary and genital tract and nervous system; urethritis, cystitis, gonorrhoea-type discharges; sexual excitement and irritability","Burning, smarting pains during and especially at end of urination; frequent urging, drop-by-drop stream; urethral discharge (often gonorrhoeal) with redness and swelling; cutting pains from bladder along urethra; sexual excitement or painful erections; darting pains in heart in some cases","Walking; standing; during and after urination; sexual excess; cold, damp","Rest; warmth; sitting or lying; plenty of water (general support)","Urinary–sexual remedy for burning urethritis and cystitis with intense urging and drop-by-drop urination, often with mental anxiety about organs or sanity"
"CANTH","Cantharis vesicatoria (Cantharis)","Restless, angry, delirious from pain and burning; intense sexual excitement or mania; mind fixed on pain in bladder or burn","Violent vesicant; acts on urinary tract and skin; burning, cutting pains and intense inflammation; classic for burns and scalds, cystitis, urethritis and gastro-intestinal irritation","Intolerable burning in urinary tract; constant urging to urinate with passage of only a few drops of scalding urine, sometimes bloody; patient screams before, during or after urination; burning pains in stomach and intestines with vomiting and diarrhoea; second- and third-degree burns and scalds with blistering; burns feel better from cold applications","Touch of affected parts; attempt to pass urine; drinking coffee or irritants; warmth on burns","Cold applications to burns and urinary region; small, frequent sips of bland fluids; rest","Top remedy for burns and acute urinary inflammation with violent burning, constant urging and small, bloody, scalding urine; also for chemical/thermal burns with blistering"
"CAPS","Capsicum annuum (Capsicum)","Homesick, obstinate, sluggish; clings to familiar surroundings, weeps when reminded of home; easily offended; tends toward indolence and dislike of exertion","Acts on mucous membranes, especially of nose, throat, ears and urinary tract; burning pains with chilliness; suited to flabby, chilly, often obese people who dislike open air","Burning pains as from red pepper in mouth, throat, stomach, bladder or rectum; sore, burning throat with relaxed uvula; otitis with mastoid pain and burning; burning haemorrhoids with tenesmus; dysentery with burning, painful stools; frequent urging to urinate with burning; chills beginning in back with burning and thirst","Cold air; drafts; uncovering; after drinking; homesickness and emotional upset","Warm room; wrapping up warmly; warm drinks (for throat); steady routine and familiar environment","Remedy for burning mucous-membrane affections (throat, ears, bladder, rectum) in chilly, flabby, homesick patients who dislike exertion and open air"
"CARB-AN","Carbo animalis","Gloomy, despondent, feels isolated; wants to be alone yet fears being deserted; sluggish mind from chronic weakness; tends to dwell on disease","Acts on glands, veins and connective tissues; induration and malignant degeneration; varicose veins, ulcers, breast and cervical gland affections; general venous stasis and coldness","Hard, stony, often painful glands (especially breasts, cervical, inguinal) with tendency to ulceration; indurated, bluish varicose veins and ulcers with burning, stitching pains; chronic hoarseness and laryngeal catarrh; offensive discharges and night sweats; icy cold feet and general chilliness","Cold, damp; night; open air when very weak; mental or physical exertion","Warmth; bandaging or support to veins; gentle, steady motion; nourishing food","Deep-acting remedy for hard glandular swellings, varicose veins and ulcerations with great weakness, coldness and sense of isolation—often considered in degenerative or malignant tendencies"
"CARB-V","Carbo vegetabilis","Apathetic, sluggish, wants to be fanned; feels almost dead yet fears death; irritable when disturbed; great indifference from collapse or chronic debility","Charcoal; classic “corpse-reviver”; acts on venous system and digestion; collapse states with coldness and desire to be fanned; flatulent dyspepsia and respiratory weakness","Extreme weakness and collapse with cold, bluish skin, cold breath, cold sweat; wants to be fanned hard and have more air; bloated abdomen full of gas with sour, rancid eructations; cannot digest fats; tendency to haemorrhage of dark, oozing blood; chronic emphysema and dyspnoea in old people","Warm stuffy rooms; overeating, especially fats; alcohol; lying flat in respiratory weakness","Cool air and fanning; head high, propped up; small sips of cool drinks; eructations of gas","Key remedy for collapse, “near-death” states with coldness and desire for fanning, and for chronic flatulent dyspepsia and respiratory weakness in the elderly or debilitated"
"CARB-AC","Carbolicum acidum","Dull, stupid, semi-conscious in septic states; may be irritable or delirious; mental clouding with offensive discharges and great prostration","Powerful antiseptic; produces profound sepsis-like conditions with offensive discharges, stupor and collapse; affects blood, nerves and mucous membranes","Extremely offensive breath, stools, urine or discharges; dark, tarry or bloody stools; ulcerations of mouth, throat or stomach; septic fevers with low pulse, cold extremities and stupor; burning pains along gastro-intestinal tract; urine scanty, dark and foul","Septic processes; cold; exertion; neglect of basic care in serious infections","Warmth; antiseptic cleansing; rest; support of circulation (medical)","Sepsis–collapse remedy for low, offensive, putrid states with great prostration and stupor, dark haemorrhages and burning pains—more of a critical/confirmatory remedy than everyday prescription"
"CARBN-H","Carboneum hydrogenisatum","Depressed, irritable, mentally exhausted; memory weak; feels old and broken down, especially after chronic intoxication (alcohol, carbon monoxide, etc.)","Acts on peripheral nerves, spinal cord and bone marrow; chronic neuritis and myelitis; degenerative states after toxic exposure; marked weakness and paraesthesiae","Numbness, tingling and burning in hands and feet; progressive weakness of limbs with staggering gait; shooting pains along nerves; cold, cyanosed extremities; vertigo and headaches from circulatory and nervous insufficiency; history of chronic alcohol, tobacco or industrial-gas exposure","Exertion; continued toxic exposure; cold; standing long","Rest; warmth; cessation of toxins; gentle physiotherapy","Nervous–circulatory remedy for chronic peripheral neuropathy and weakness, especially after toxic insults (alcohol, gases) with numbness, tingling and cold, bluish extremities"
"CARBN-O","Carboneum oxygenisatum","Depressed, apathetic, intellectually dulled; difficulty concentrating; anxiety and confusion following asphyxial or toxic events","Carbon monoxide picture; acts on blood, heart and nervous system; anaemia, hypoxia, cardiac weakness and neurological sequelae after carbon-monoxide-type poisoning","Headache, vertigo and throbbing in head; ringing in ears; breathlessness and palpitations on slight exertion; cold, cyanosed extremities; numbness or weakness in limbs; great fatigue after minimal effort; tendency to faint","Exertion; going upstairs; close, stuffy rooms; further exposure to fumes or smoke","Fresh, well-ventilated air; rest; oxygen support (acute); gradual conditioning","Remedy modelled on carbon-monoxide poisoning picture with hypoxia, cardiac weakness, headaches and neurological fatigue after asphyxial exposure"
"CARBN-S","Carboneum sulphuratum","Depressed, irritable, mentally dulled; memory weak; feels prematurely old and broken down, often after years of alcohol, tobacco or chemical exposure","Powerful nerve and blood remedy; progressive peripheral neuritis and spinal cord degeneration; marked anaemia and venous stasis; history of chronic intoxication (alcohol, lead, etc.)","Burning, tingling, numbness and weakness in hands and feet, extending upward; staggering gait; legs feel heavy and wooden; icy cold extremities with bluish discoloration; headaches and vertigo from poor circulation; great fatigue from slightest effort","Exertion; continued exposure to toxins; cold and damp; at night","Rest; warmth; stopping the toxic influence; gentle, regular movement","Deep-acting chronic intoxication remedy for peripheral neuritis, cold numb extremities and progressive weakness after alcohol, tobacco or industrial toxins"
"CARC","Carcinosinum (Carcinosin)","Highly sensitive, conscientious, perfectionistic; strong sense of duty; history of long-standing grief, abuse or early responsibility; fears failure, criticism and disease; loves music, dance and often thunderstorms; many family expectations on them","Cancer nosode; deep constitutional remedy where there is strong family history of cancer, tuberculosis or diabetes; multiple suppressions (vaccinations, antibiotics, steroids); early loss, abuse or prolonged stress; great fatigue yet restless, wired nervous system","Insomnia from active mind; recurrent infections that never fully clear; tendency to bruising, moles, café-au-lait spots or numerous naevi; constipation alternating with diarrhoea from nervous strain; headaches in studious, over-driven children; craving for chocolate, salt or stimulants; chilliness with periodic fevers","Overwork; emotional upset; criticism; suppression of eruptions or discharges; late nights","Gentle routine; creative outlets (music, dance); seaside air; sympathy and understanding","Deep miasmatic remedy for perfectionistic, over-burdened people with strong family cancer history, multiple suppressions and chronic fatigue or recurrent infections"
"CARD-M","Carduus marianus","Irritable, depressed, easily angered when liver is congested; feels heavy and dull, worse in the morning; may be despondent about chronic digestive trouble","Milk thistle; great liver and portal remedy; congestion and enlargement of liver, especially left lobe; gallstone colic; haemorrhoids and varicose veins from portal obstruction","Soreness and pain in liver region, extending to right shoulder or under left scapula; stitches in liver on deep inspiration; jaundice with clay-coloured stools and dark urine; nausea and bitter taste, worse on waking; haemorrhoids with itching and burning; varicose veins of legs; tendency to nosebleeds from portal congestion","Alcohol, rich or fatty food; lying on left side; morning on waking; sitting long, sedentary habits","Moderate exercise; light, fat-free diet; open air; lying on right side with knees drawn up","Primary liver–portal remedy for hepatic enlargement, gallstones and portal haemorrhoids/varicose veins, especially where left lobe of liver is markedly sore"
"CARL","Carlsbad aqua (Carlsbad)","Indolent, apathetic, often overweight; irritable when digestive habits are disturbed; mental heaviness improved by regular regimen","Thermal spring preparation; acts on liver, stomach and intestines; chronic catarrhal conditions of stomach and duodenum; gallstones; constipation and obesity from sedentary life and high living","Chronic gastric catarrh with sour eructations, heartburn and fullness after small amounts of food; constipation with large, hard stools or sluggish bowels requiring laxatives; gallstone tendencies with fullness and aching in liver and right shoulder; obesity with sluggish metabolism; gouty and rheumatic complaints in stout people","Overeating, especially rich, fatty foods; alcohol; lack of exercise; late meals","Regular regimen, early light suppers; warm mineral water taken slowly; walking in open air","“Spa” remedy for stout, sedentary patients with chronic gastric and hepatic catarrh, sluggish bowels, gallstones and gouty tendencies who do better on strict regimen and mineral waters"
"CAS-S","Cascara sagrada (Rhamnus purshiana)","Irritable, despondent from long-standing constipation; feels heavy, dull and unrefreshed; mind sluggish until bowels act","Chiefly a bowel remedy; chronic constipation from intestinal and rectal atony; sluggish portal circulation; piles and headaches from continual straining or incomplete evacuation","Habitual constipation with dry, knotty or insufficient stools; sensation of incomplete evacuation, must return to toilet repeatedly; dull headache and backache with rectal fullness; haemorrhoids from long straining; liver sluggishness with coated tongue and foul taste","Sedentary lifestyle; irregular habits; neglect of urge; overeating, especially rich food","Regular, moderate exercise; plenty of water and fibre; establishing daily bowel routine","Chronic-constipation remedy for atonic bowels with constant sense of incomplete stool, haemorrhoids and dull headache/backache from straining"
"CASC","Cascarilla (Croton eluteria)","Irritable, anxious and easily fatigued from chronic digestive weakness; may be hypochondriacal about stomach and heart","Acts on stomach and intestines; flatulent dyspepsia, chronic diarrhoea or alternating constipation, especially after debility or tropical disease; used in convalescence from fevers","Sour, bitter eructations with flatulence; weight and oppression in stomach after food; chronic, offensive diarrhoea in the morning, sometimes alternating with constipation; colicky pains about umbilicus; palpitations from gas pressing upward","Fatty or rich food; coffee and stimulants; eating irregularly; cold drinks when overheated","Warm, simple food; regular small meals; gentle movement after eating","Digestive remedy for flatulent, sour dyspepsia and chronic diarrhoea/alternation in weak, debilitated patients, especially after fevers or tropical illnesses"
"CASTN-V","Castanea vesca","Mentally exhausted and irritable from incessant coughing or nerve pains; cannot rest, feels worn out and worried","Sweet chestnut; acts chiefly on respiratory tract and nerves; pertussis and spasmodic coughs; neuralgias and rheumatic pains","Spasmodic, exhausting cough, especially in whooping-cough, with very frequent paroxysms and short intervals of relief; cough may be almost continuous, preventing sleep; little or no expectoration; chest and abdominal muscles ache and feel bruised from coughing; also occipital or facial neuralgias and shooting rheumatic pains","Night; lying down; cold air; laughing or talking; exertion","Sitting propped up; warm room; short periods of rest between paroxysms; sips of warm drinks","Spasmodic-cough remedy, particularly for almost continuous whooping-cough paroxysms with bruised chest and abdominal muscles and great exhaustion"
"CASTOR-E","Castor equi","Depressed, irritable, made miserable by local pains in feet, corns or cracked skin; worries about appearance and inability to walk comfortably","Inner layer of horse’s hoof; acts on skin, bones and periosteum; corns, bunions, warts, rhagades and felons; also glandular swellings of breast and ovaries","Painful, sensitive corns and bunions on feet, especially soles and heels; deep cracks and rhagades on fingers, heels and hands; early felon (whitlow) with throbbing pain; tenderness and enlargement of breasts or ovaries with sharp, stitching pains; warts on hands or feet","Standing or walking; tight shoes; cold damp affecting hands and feet","Rest; warm foot-baths; soft footwear; local applications (as ordered)","Skin–bone remedy for very painful corns, bunions, cracks and early felons, and sometimes for sensitive breast/ovarian enlargements with stitching pains"
"CAST","Castoreum canadense (Castoreum)","Oversensitive, nervous, easily startled; hysterical fits from pain or emotional upset; exhausted, tearful and irritable, especially in delicate women and children","Acts on nervous system and digestion; hysterical and nervous states after long suffering or nervous shock; colicky pains; menstrual and labour pains with great nervousness; suits oversensitive, worn-out individuals","Spasmodic colic in children and women with much groaning and hysterical crying; pains come in waves and cause faintness or extreme irritability; menstrual colic with nausea and trembling; labour pains with great nervous agitation, spasms or hysteria; nervous headaches in exhausted, delicate people","Emotion, fright, noise; pain; night; cold air in sensitive subjects","Rest in quiet, dark room; warmth; gentle pressure over abdomen; reassurance and company","Nervous–spasmodic remedy for hysterical, oversensitive patients with colicky pains, menstrual or labour pains and great nervous exhaustion after long suffering"
"CATAR","Cataria nepeta","Fretful, restless, overexcitable—especially infants and children; cannot be comforted, cries from colic and nervous irritation; adults may have hysterical or nervous states","Catnip; acts on nervous system and abdomen; infantile colic and spasms; sleepless, over-wrought children; some use in whooping-cough and hysterical coughs","Violent colic in infants with drawing up of legs, shrill crying and restlessness; gas and distension of abdomen; children cannot sleep, toss about and cry until exhausted; spasmodic cough in nervous children and in whooping-cough; hysterical attacks with weeping or laughing in sensitive subjects","Overfeeding; flatulent foods for nursing mother; excitement, noise, bright lights in children; evening and night","Gentle rocking; carrying the child; warmth to abdomen; passing flatus or stool","Child-colic and nervousness remedy for fretful, sleepless infants with gas and abdominal pain, and for spasmodic or hysterical coughs in sensitive children"
"CAUL","Caulophyllum thalictroides (Caulophyllum)","Fretful, nervous, easily exhausted by pain; women feel weak, irritable and discouraged from repeated miscarriages or difficult labours","Primarily a woman’s remedy; uterine atony and nervous spasms; false or inefficient labour pains; tendency to habitual abortion; also acts on small joints","Labour pains sharp, spasmodic, flying from one part to another with little progress; rigid, unyielding cervix; tendency to habitual abortion from uterine weakness; after-pains or dysmenorrhoea with crampy, wandering pains; stiffness and erratic pains in fingers, toes and small joints","Labour or menses when uterus is weak; cold; exertion in delicate women","Warmth; gentle movement; when true, effective contractions get established","Key remedy for uterine weakness with spasmodic, ineffective labour or menstrual pains and a history of miscarriages, plus erratic small-joint pains"
